管轄分団,出火日時,注意報１,注意報２,注意報３,注意報４,注意報５,警報１,警報２,警報３,警報４,警報５,建物番号,火元区分,焼損程度,構造,焼損　床面積（㎡）,焼損　表面積（㎡）,火災種別,出火原因,天気,気温,相対湿度,火災警報,風位,風速,積雪量
第５方面隊大在西分団,9月22日,,,,,,,,,,,1,火元,部分焼,木造建築物,5,,建物火災,不明・調査中,曇,19,73,発令無,南,2,
第３方面隊竹中分団,1月6日,乾燥,,,,,,,,,,2,類焼,全焼,木造建築物,29,,建物火災,不明・調査中,曇,8,77,発令無,南,1,
,1月16日,強風,雷,波浪,注意報,,,,,,,,,,,,,その他の火災,その他,雨,14,80,発令無,南西,1,
第４方面隊賀来分団,1月7日,乾燥,,,,,,,,,,,,,,,,その他の火災,たき火,晴,12,52,発令無,北,3,
第２方面隊別保分団,1月1日,,,,,,,,,,,1,火元,ぼや,木造建築物,,0,建物火災,不明・調査中,晴,5,45,発令無,西北西,3,
第１方面隊大道分団,1月8日,,,,,,,,,,,1,火元,ぼや,耐火建築物,,,建物火災,放火,曇,7,57,発令無,西南西,1,0
第１方面隊桃園分団,1月6日,,,,,,,,,,,1,火元,部分焼,耐火建築物,7,,建物火災,マッチ・ライター,晴,6,82,発令無,南,1,
第４方面隊稙田西部分団,1月11日,乾燥,強風,波浪,,,,,,,,1,火元,ぼや,防火構造建築物,,0,建物火災,ストーブ,晴,6,50,発令無,西南西,2,
第１方面隊滝尾分団,1月10日,,,,,,,,,,,1,火元,部分焼,準耐火建築物（非木造）,,3,建物火災,,晴,9,50,発令無,西北西,1,
第５方面隊大在西分団,1月9日,乾燥,,,,,,,,,,,,,,,,その他の火災,火あそび,晴,10,37,発令無,北,2,
第５方面隊大在西分団,1月10日,,,,,,,,,,,,,,,,,その他の火災,放火の疑い,晴,3,57,発令無,北西,2,
第２方面隊別保分団,1月7日,強風,波浪,,,,,,,,,,,,,,,その他の火災,火あそび,晴,8,47,発令無,南,3,
第３方面隊判田分団,1月26日,乾燥,強風,低温,波浪,注意報,,,,,,,,,,,,その他の火災,不明・調査中,晴,1,60,発令無,北西,4,
第１方面隊滝尾分団,1月20日,乾燥,強風,波浪,注意報,,,,,,,,,,,,,林野火災,たき火,曇,13,50,発令無,西北西,2,
第１方面隊東大分分団,1月27日,乾燥,強風,低温,波浪,,,,,,,1,火元,ぼや,耐火建築物,0,0,建物火災,たばこ,晴,1,66,発令無,西北西,3,
第６方面隊坂ノ市分団,1月24日,乾燥,注意報,,,,,,,,,1,火元,全焼,防火構造建築物,193,0,建物火災,たばこ,晴,10,56,発令無,西北西,2,
第１方面隊中島分団,1月12日,乾燥,,,,,,,,,,1,火元,部分焼,耐火建築物,1,,建物火災,放火,晴,2,77,発令無,南南西,1,0
第７方面隊佐賀関上浦分団,1月7日,,,,,,,,,,,1,火元,ぼや,準耐火建築物（非木造）,,,建物火災,その他,曇,3,96,発令無,南南東,1,0
第２方面隊三佐分団,1月14日,乾燥,低温,注意報,,,,,,,,1,火元,部分焼,木造建築物,16,,建物火災,電灯・電話等の配線,晴,0,68,発令無,南,2,
第２方面隊高田分団,1月12日,乾燥,大雪,風雪,波浪,注意報,,,,,,1,火元,ぼや,準耐火建築物（木造）,1,,建物火災,不明・調査中,晴,3,57,発令無,西南西,3,
第６方面隊坂ノ市分団,1月24日,乾燥,注意報,,,,,,,,,2,類焼,ぼや,準耐火建築物（非木造）,,0,建物火災,たばこ,晴,10,56,発令無,西北西,2,
第４方面隊稙田東部分団,1月11日,乾燥,強風,波浪,注意報,,,,,,,,,,,,,その他の火災,たき火,晴,9,33,発令無,南東,4,
第３方面隊戸次分団,1月9日,乾燥,,,,,,,,,,,,,,,,林野火災,火あそび,晴,10,41,発令無,北北東,2,
第６方面隊坂ノ市分団,1月13日,乾燥,強風,波浪,,,,,,,,,,,,,,その他の火災,不明・調査中,晴,7,47,発令無,西北西,4,0
第３方面隊吉野分団,1月11日,乾燥,強風,波浪,注意報,,,,,,,,,,,,,林野火災,不明・調査中,曇,6,53,発令無,北西,3,
第２方面隊鶴崎分団,1月11日,,,,,,,,,,,1,火元,全焼,木造建築物,556,,建物火災,電灯・電話等の配線,曇,7,67,発令無,南南西,2,
第６方面隊丹生分団,1月14日,乾燥,強風,,,,,,,,,1,火元,全焼,木造建築物,192,,建物火災,不明・調査中,晴,10,59,発令無,西北西,7,
第２方面隊明治分団,1月28日,強風,波浪,,,,,,,,,1,火元,ぼや,耐火建築物,0,0,建物火災,放火の疑い,曇,7,80,発令無,西北西,3,
第１方面隊大道分団,1月14日,乾燥,強風,波浪,注意報,,,,,,,1,火元,ぼや,防火構造建築物,1,,建物火災,こんろ,晴,8,43,発令無,西南西,3,
第２方面隊三佐分団,1月17日,,,,,,,,,,,1,火元,ぼや,木造建築物,,0,建物火災,こんろ,雨,7,98,発令無,南,1,
第１方面隊春日分団,1月19日,,,,,,,,,,,1,火元,ぼや,耐火建築物,0,0,建物火災,電気機器,快晴,11,32,発令無,西北西,5,0
第３方面隊判田分団,1月12日,乾燥,強風,,,,,,,,,1,火元,ぼや,その他の建築物,,,建物火災,電気機器,晴,6,57,発令無,西北西,5,
第６方面隊丹生分団,1月14日,乾燥,強風,,,,,,,,,2,類焼,部分焼,木造建築物,11,,建物火災,不明・調査中,晴,10,59,発令無,西北西,7,
第１方面隊日岡分団,1月25日,強風,雷,波浪,,,,,,,,,,,,,,その他の火災,たき火,霧雨,12,55,発令無,北西,2,
第８方面隊野津原東部分団,1月12日,乾燥,,,,,,,,,,,,,,,,林野火災,たき火,晴,8,49,発令無,北北東,2,0
第１方面隊滝尾分団,1月15日,乾燥,強風,雷,波浪,注意報,,,,,,,,,,,,その他の火災,不明・調査中,曇,6,57,発令無,西南西,1,
第１方面隊八幡分団,1月12日,乾燥,強風,波浪,,,,,,,,1,火元,全焼,木造建築物,35,,建物火災,その他,晴,9,52,発令無,西,2,
第１方面隊南大分分団,1月16日,乾燥,,,,,,,,,,1,火元,ぼや,耐火建築物,,0,建物火災,,晴,2,73,発令無,南南西,2,0
第３方面隊判田分団,1月17日,強風,雷,波浪,注意報,,,,,,,1,火元,部分焼,準耐火建築物（木造）,3,0,建物火災,こんろ,雨,8,98,発令無,南,1,0
