管轄分団,出火日時,注意報１,注意報２,注意報３,注意報４,注意報５,警報１,警報２,警報３,警報４,警報５,建物番号,火元区分,焼損程度,構造,焼損　床面積（㎡）,焼損　表面積（㎡）,火災種別,出火原因,天気,気温,相対湿度,火災警報,風位,風速,積雪量
第３方面隊判田分団,3月7日,乾燥,,,,,,,,,,,,,,,,その他の火災,不明・調査中,晴,16,43,発令無,南南西,3,
第８方面隊野津原西部分団,3月5日,強風,雷,波浪,,,,,,,,,,,,,,林野火災,たき火,晴,20,56,発令無,南南東,5,0
第１方面隊金池分団,2月26日,乾燥,,,,,,,,,,,,,,,,その他の火災,放火の疑い,晴,11,59,発令無,北,2,
第６方面隊小佐井分団,3月3日,,,,,,,,,,,1,火元,半焼,準耐火建築物（非木造）,6,,建物火災,取灰,曇,4,87,発令無,南南西,1,
,3月4日,乾燥,波浪,,,,,,,,,1,火元,全焼,その他の建築物,13,,建物火災,たばこ,曇,11,72,発令無,北北東,2,
第１方面隊南大分分団,3月1日,,,,,,,,,,,1,火元,部分焼,耐火建築物,72,0,建物火災,たばこ,晴,10,77,発令無,北北東,1,
第１方面隊南大分分団,2月13日,乾燥,,,,,,,,,,1,火元,ぼや,木造建築物,0,,建物火災,たばこ,晴,8,51,発令無,北北西,2,
第１方面隊春日分団,3月12日,乾燥,,,,,,,,,,1,火元,半焼,木造建築物,2,,建物火災,配線器具,晴,5,64,発令無,南,1,
第３方面隊吉野分団,3月8日,乾燥,注意報,,,,,,,,,1,火元,全焼,その他の建築物,80,,建物火災,不明・調査中,快晴,19,28,発令無,西南西,4,
第３方面隊戸次分団,3月6日,強風,雷,波浪,注意報,,,,,,,1,火元,全焼,準耐火建築物（木造）,107,,建物火災,たき火,曇,20,71,発令無,南南東,3,
第３方面隊戸次分団,3月7日,,,,,,,,,,,1,火元,ぼや,その他の建築物,,,建物火災,電灯・電話等の配線,曇,11,59,発令無,北,2,
第３方面隊吉野分団,3月8日,乾燥,注意報,,,,,,,,,2,類焼,部分焼,木造建築物,,2,建物火災,不明・調査中,快晴,19,28,発令無,西南西,4,
第３方面隊戸次分団,3月6日,強風,雷,波浪,注意報,,,,,,,2,類焼,部分焼,準耐火建築物（非木造）,,10,建物火災,たき火,曇,20,71,発令無,南南東,3,
第３方面隊吉野分団,3月8日,乾燥,注意報,,,,,,,,,3,類焼,ぼや,その他の建築物,,1,建物火災,不明・調査中,快晴,19,28,発令無,西南西,4,
第８方面隊野津原中部分団,4月3日,乾燥,,,,,,,,,,,,,,,,その他の火災,たき火,晴,20,67,発令無,北北西,1,
第３方面隊戸次分団,2月20日,乾燥,,,,,,,,,,,,,,,,林野火災,たばこ,晴,9,44,発令無,東北東,4,
第１方面隊桃園分団,3月5日,,,,,,,,,,,1,火元,ぼや,木造建築物,,0,建物火災,取灰,晴,11,39,発令無,北,4,
第３方面隊戸次分団,2月17日,強風,波浪,,,,,,,,,1,火元,ぼや,木造建築物,0,0,建物火災,こんろ,晴,13,89,発令無,北西,0,
第１方面隊東大分分団,2月23日,,,,,,,,,,,1,火元,全焼,その他の建築物,21,,建物火災,不明・調査中,晴,14,68,発令無,北北西,2,
第２方面隊別保分団,3月5日,,,,,,,,,,,1,火元,ぼや,準耐火建築物（非木造）,,,建物火災,,雨,11,89,発令無,西,1,
第２方面隊明治分団,3月3日,乾燥,強風,波浪,注意報,,,,,,,,,,,,,その他の火災,放火の疑い,晴,8,40,発令無,北北西,4,
第１方面隊南大分分団,3月17日,乾燥,,,,,,,,,,,,,,,,その他の火災,不明・調査中,晴,14,68,発令無,北西,2,
第１方面隊南大分分団,3月10日,乾燥,強風,波浪,注意報,,,,,,,,,,,,,その他の火災,不明・調査中,曇,11,65,発令無,北北西,1,
第５方面隊大在西分団,3月4日,,,,,,,,,,,,,,,,,その他の火災,不明・調査中,晴,14,74,発令無,北北西,3,
第３方面隊戸次分団,4月13日,乾燥,強風,注意報,,,,,,,,,,,,,,林野火災,放火,晴,19,21,発令無,東北東,3,
第３方面隊判田分団,3月10日,,,,,,,,,,,,,,,,,車両火災,放火の疑い,曇,8,68,発令無,西北西,3,
第２方面隊三佐分団,3月20日,強風,霜,波浪,注意報,,,,,,,1,火元,全焼,木造建築物,83,,建物火災,風呂かまど,晴,10,60,発令無,西北西,3,
第２方面隊三佐分団,2月20日,強風,雷,波浪,,,,,,,,1,火元,全焼,木造建築物,110,,建物火災,放火,晴,7,75,発令無,無風状態,0,
第１方面隊東大分分団,3月17日,乾燥,,,,,,,,,,1,火元,部分焼,防火構造建築物,1,,建物火災,こんろ,晴,15,59,発令無,北北西,1,
第１方面隊大道分団,3月9日,,,,,,,,,,,1,火元,ぼや,耐火建築物,,,建物火災,こんろ,曇,11,69,発令無,北北東,1,0
第６方面隊丹生分団,3月15日,乾燥,,,,,,,,,,1,類焼,全焼,準耐火建築物（非木造）,131,,建物火災,その他,晴,10,55,発令無,北西,1,
第２方面隊高田分団,2月24日,乾燥,,,,,,,,,,1,火元,半焼,木造建築物,48,,建物火災,たばこ,快晴,7,82,発令無,南,1,
第２方面隊高田分団,2月24日,乾燥,,,,,,,,,,2,類焼,ぼや,木造建築物,,1,建物火災,たばこ,快晴,7,82,発令無,南,1,
第６方面隊丹生分団,3月15日,乾燥,,,,,,,,,,2,火元,ぼや,準耐火建築物（非木造）,0,0,建物火災,その他,晴,10,55,発令無,北西,1,
第２方面隊高田分団,2月24日,乾燥,,,,,,,,,,3,類焼,ぼや,防火構造建築物,,1,建物火災,たばこ,快晴,7,82,発令無,南,1,
第７方面隊志生木分団,3月5日,乾燥,,,,,,,,,,,,,,,,その他の火災,たき火,晴,8,52,発令無,北,2,0
第２方面隊川添分団,3月9日,,,,,,,,,,,,,,,,,車両火災,排気管,雨,9,98,発令無,北西,2,
第１方面隊桃園分団,4月18日,霜,,,,,,,,,,,,,,,,その他の火災,放火の疑い,晴,19,50,発令無,東北東,4,
第５方面隊大在西分団,3月5日,,,,,,,,,,,,,,,,,その他の火災,焼却炉,曇,8,45,発令無,北北西,4,
第２方面隊別保分団,3月18日,,,,,,,,,,,1,火元,半焼,木造建築物,86,,建物火災,不明・調査中,雨,15,98,発令無,北,1,
第１方面隊南大分分団,3月6日,波浪,,,,,,,,,,1,火元,ぼや,耐火建築物,,0,建物火災,放火,曇,6,67,発令無,北北西,1,
第１方面隊大道分団,3月12日,,,,,,,,,,,1,火元,部分焼,耐火建築物,4,,建物火災,こんろ,晴,11,57,発令無,西,1,
第８方面隊野津原中部分団,3月23日,強風,波浪,,,,,,,,,1,火元,ぼや,木造建築物,0,0,建物火災,電灯・電話等の配線,晴,15,24,発令無,北東,1,
第４方面隊東稙田分団,2月24日,乾燥,,,,,,,,,,1,火元,半焼,準耐火建築物（木造）,24,,建物火災,放火,晴,17,64,発令無,南南東,3,
第５方面隊大在東分団,3月8日,乾燥,強風,波浪,注意報,,,,,,,,,,,,,その他の火災,,晴,10,43,発令無,北北西,6,
第２方面隊川添分団,3月17日,乾燥,注意報,,,,,,,,,,,,,,,車両火災,その他,晴,14,65,発令無,南南東,3,
第１方面隊八幡分団,3月15日,乾燥,,,,,,,,,,,,,,,,その他の火災,たき火,晴,9,62,発令無,無風状態,0,
第６方面隊丹生分団,4月20日,乾燥,,,,,,,,,,,,,,,,その他の火災,たき火,快晴,21,44,発令無,北西,1,
,2月22日,強風,波浪,,,,,,,,,,,,,,,車両火災,電気装置,晴,9,69,発令無,北西,4,
第１方面隊東大分分団,3月6日,,,,,,,,,,,1,火元,ぼや,木造建築物,,0,建物火災,配線器具,雨,5,93,発令無,南南西,2,
第１方面隊南大分分団,2月25日,強風,雷,波浪,,,,,,,,1,火元,全焼,木造建築物,152,,建物火災,不明・調査中,雨,19,69,発令無,南東,4,
第８方面隊野津原中部分団,3月14日,乾燥,強風,霜,波浪,注意報,,,,,,1,火元,全焼,木造建築物,49,,建物火災,その他,晴,8,39,発令無,西北西,5,
第２方面隊三佐分団,3月8日,乾燥,強風,波浪,注意報,,,,,,,1,火元,全焼,準耐火建築物（非木造）,130,,建物火災,たばこ,晴,7,42,発令無,西北西,2,
第１方面隊南大分分団,3月20日,強風,霜,波浪,注意報,,,,,,,1,火元,ぼや,その他の建築物,0,0,建物火災,その他,晴,11,57,発令無,北西,4,
第８方面隊野津原中部分団,3月14日,乾燥,強風,霜,波浪,注意報,,,,,,2,類焼,部分焼,木造建築物,,1,建物火災,その他,晴,8,39,発令無,西北西,5,
第２方面隊三佐分団,3月8日,乾燥,強風,波浪,注意報,,,,,,,2,類焼,部分焼,準耐火建築物（非木造）,0,72,建物火災,たばこ,晴,7,42,発令無,西北西,2,
第２方面隊三佐分団,3月8日,乾燥,強風,波浪,注意報,,,,,,,3,類焼,ぼや,準耐火建築物（非木造）,0,0,建物火災,たばこ,晴,7,42,発令無,西北西,2,
,3月18日,,,,,,,,,,,,,,,,,車両火災,不明・調査中,雨,16,76,発令無,南,1,
第１方面隊滝尾分団,3月19日,,,,,,,,,,,,,,,,,車両火災,排気管,曇,12,69,発令無,北東,1,
第２方面隊三佐分団,2月25日,乾燥,,,,,,,,,,,,,,,,その他の火災,火あそび,晴,11,55,発令無,北西,0,0
第１方面隊八幡分団,3月27日,乾燥,注意報,,,,,,,,,,,,,,,林野火災,不明・調査中,晴,13,38,発令無,北西,2,0
第１方面隊南大分分団,4月21日,乾燥,,,,,,,,,,,,,,,,その他の火災,放火の疑い,晴,13,81,発令無,南,0,
第１方面隊金池分団,3月8日,,,,,,,,,,,1,火元,全焼,木造建築物,166,,建物火災,配線器具,晴,9,76,発令無,北西,4,
第１方面隊東大分分団,3月20日,強風,波浪,,,,,,,,,1,火元,ぼや,耐火建築物,0,0,建物火災,不明・調査中,雨,11,87,発令無,無風状態,0,
第３方面隊判田分団,3月14日,,,,,,,,,,,1,火元,ぼや,防火構造建築物,,0,建物火災,配線器具,晴,8,60,発令無,西,5,
第４方面隊賀来分団,3月1日,強風,雷,波浪,注意報,,,,,,,1,火元,部分焼,耐火建築物,14,,建物火災,こんろ,曇,12,72,発令無,西北西,2,
第１方面隊桃園分団,3月22日,,,,,,,,,,,1,火元,部分焼,耐火建築物,26,,建物火災,不明・調査中,雨,10,82,発令無,西北西,2,
第４方面隊東稙田分団,3月31日,,,,,,,,,,,1,火元,部分焼,木造建築物,10,,建物火災,配線器具,雨,10,51,発令無,西北西,4,
第１方面隊金池分団,3月8日,,,,,,,,,,,2,類焼,全焼,木造建築物,11,,建物火災,配線器具,晴,9,76,発令無,北西,4,
第２方面隊松岡分団,3月9日,乾燥,強風,波浪,注意報,,,,,,,,,,,,,その他の火災,たき火,晴,12,22,発令無,西北西,6,
第２方面隊明治分団,3月24日,,,,,,,,,,,,,,,,,その他の火災,放火の疑い,晴,12,51,発令無,無風状態,0,
第３方面隊戸次分団,4月22日,乾燥,,,,,,,,,,,,,,,,その他の火災,不明・調査中,晴,22,66,発令無,北西,1,0
,2月28日,乾燥,,,,,,,,,,,,,,,,その他の火災,その他,晴,8,75,発令無,南西,2,
第２方面隊松岡分団,4月1日,乾燥,強風,波浪,,,,,,,,1,火元,部分焼,木造建築物,22,,建物火災,その他,晴,9,53,発令無,北,1,
第２方面隊明治分団,3月1日,乾燥,,,,,,,,,,1,火元,全焼,木造建築物,110,,建物火災,電気機器,晴,2,86,発令無,南,1,
第３方面隊判田分団,3月26日,雷,波浪,,,,,,,,,1,火元,部分焼,木造建築物,,2,建物火災,マッチ・ライター,曇,16,91,発令無,南,2,
第１方面隊桃園分団,3月19日,雷,注意報,,,,,,,,,1,火元,ぼや,準耐火建築物（非木造）,0,0,建物火災,配線器具,晴,17,62,発令無,西,1,
第１方面隊東大分分団,3月21日,霜,注意報,,,,,,,,,1,火元,ぼや,防火構造建築物,1,,建物火災,ストーブ,晴,12,48,発令無,北,4,
第１方面隊南大分分団,4月23日,,,,,,,,,,,1,火元,全焼,木造建築物,90,,建物火災,その他,晴,17,86,発令無,南南東,1,
第２方面隊明治分団,3月1日,強風,雷,波浪,注意報,,,,,,,1,火元,全焼,木造建築物,82,,建物火災,配線器具,雨,11,85,発令無,南,2,
第１方面隊南大分分団,4月23日,,,,,,,,,,,2,類焼,ぼや,木造建築物,,0,建物火災,その他,晴,17,86,発令無,南南東,1,
第２方面隊明治分団,3月1日,強風,雷,波浪,注意報,,,,,,,2,類焼,部分焼,木造建築物,,2,建物火災,配線器具,雨,11,85,発令無,南,2,
第１方面隊南大分分団,4月23日,,,,,,,,,,,3,類焼,ぼや,木造建築物,,0,建物火災,その他,晴,17,86,発令無,南南東,1,
第１方面隊滝尾分団,3月8日,,,,,,,,,,,,,,,,,その他の火災,放火の疑い,晴,12,58,発令無,東北東,2,
第２方面隊明治分団,3月26日,乾燥,霜,雷,,,,,,,,,,,,,,その他の火災,たき火,晴,11,46,発令無,西北西,0,
第３方面隊判田分団,3月11日,乾燥,強風,波浪,注意報,,,,,,,,,,,,,林野火災,たき火,晴,12,27,発令無,北西,4,
第４方面隊東稙田分団,3月5日,,,,,,,,,,,1,火元,部分焼,準耐火建築物（木造）,11,,建物火災,放火,雨,15,67,発令無,南,1,
第１方面隊滝尾分団,4月5日,乾燥,,,,,,,,,,1,火元,全焼,準耐火建築物（木造）,126,,建物火災,電灯・電話等の配線,晴,15,43,発令無,北北西,1,
第５方面隊大在西分団,3月11日,乾燥,,,,,警報,,,,,1,火元,ぼや,木造建築物,,1,建物火災,,晴,12,29,発令無,北北西,4,
第４方面隊東稙田分団,3月23日,強風,波浪,,,,,,,,,1,火元,ぼや,木造建築物,0,0,建物火災,,晴,14,44,発令無,北北東,3,
第１方面隊中島分団,4月2日,濃霧,注意報,,,,,,,,,1,火元,部分焼,その他の建築物,,16,建物火災,炉,曇,13,98,発令無,南,1,
第７方面隊志生木分団,3月11日,乾燥,強風,波浪,,,,,,,,1,火元,全焼,木造建築物,12,,建物火災,不明・調査中,晴,8,38,発令無,北西,2,
第１方面隊南大分分団,3月5日,,,,,,,,,,,1,火元,全焼,木造建築物,56,,建物火災,不明・調査中,晴,5,88,発令無,南,2,
第１方面隊大道分団,3月28日,,,,,,,,,,,1,火元,部分焼,耐火建築物,4,,建物火災,こんろ,晴,16,67,発令無,北東,1,
第１方面隊滝尾分団,4月5日,乾燥,,,,,,,,,,2,類焼,部分焼,準耐火建築物（非木造）,,3,建物火災,電灯・電話等の配線,晴,15,43,発令無,北北西,1,
第１方面隊滝尾分団,4月5日,乾燥,,,,,,,,,,3,建物外,,木造建築物,,0,建物火災,電灯・電話等の配線,晴,15,43,発令無,北北西,1,
第２方面隊明治分団,3月29日,強風,波浪,注意報,,,,,,,,,,,,,,車両火災,排気管,雨,16,73,発令無,南南東,3,
第１方面隊日岡分団,4月26日,,,,,,,,,,,,,,,,,その他の火災,放火の疑い,晴,14,80,発令無,南,1,
第１方面隊金池分団,4月5日,,,,,,,,,,,1,火元,部分焼,耐火建築物,126,,建物火災,たばこ,曇,13,89,発令無,北西,3,
第１方面隊中島分団,3月15日,乾燥,強風,波浪,,,,,,,,1,火元,ぼや,その他の建築物,,,建物火災,,晴,15,59,発令無,北北西,2,
第１方面隊春日分団,2月27日,,,,,,,,,,,1,火元,ぼや,耐火建築物,,0,建物火災,電気機器,晴,9,66,発令無,北東,4,
第３方面隊戸次分団,3月12日,乾燥,強風,波浪,注意報,,,,,,,1,火元,ぼや,準耐火建築物（非木造）,,1,建物火災,不明・調査中,晴,10,33,発令無,南,3,
第１方面隊滝尾分団,3月29日,強風,霜,波浪,注意報,,,,,,,,,,,,,その他の火災,その他,曇,15,50,発令無,北北西,2,
第６方面隊坂ノ市分団,3月28日,乾燥,霜,,,,,,,,,,,,,,,その他の火災,灯火,曇,10,50,発令無,北,2,
第８方面隊野津原西部分団,4月6日,乾燥,注意報,,,,,,,,,,,,,,,林野火災,たき火,晴,15,15,発令無,西北西,5,
第４方面隊賀来分団,4月28日,,,,,,,,,,,,,,,,,その他の火災,マッチ・ライター,晴,22,28,発令無,東北東,2,
第３方面隊吉野分団,4月9日,乾燥,注意報,,,,,,,,,,,,,,,その他の火災,たき火,晴,16,61,発令無,無風状態,0,0
第４方面隊東稙田分団,3月7日,強風,波浪,,,,,,,,,,,,,,,車両火災,排気管,曇,10,76,発令無,北北西,3,
第１方面隊大道分団,4月7日,乾燥,強風,霜,波浪,注意報,,,,,,1,火元,半焼,準耐火建築物（非木造）,83,,建物火災,不明・調査中,晴,11,37,発令無,西南西,2,0
第５方面隊大在西分団,3月31日,,,,,,,,,,,1,火元,全焼,木造建築物,12,,建物火災,放火,晴,11,70,発令無,無風状態,0,0
第２方面隊高田分団,3月23日,,,,,,,,,,,1,火元,ぼや,準耐火建築物（非木造）,,0,建物火災,火あそび,雨,11,91,発令無,東南東,1,
第５方面隊大在西分団,3月7日,乾燥,強風,雷,波浪,注意報,,,,,,,,,,,,その他の火災,放火,晴,10,38,発令無,西北西,4,
第１方面隊八幡分団,3月16日,,,,,,,,,,,,,,,,,林野火災,たき火,晴,7,27,発令無,北西,7,
第４方面隊東稙田分団,4月10日,,,,,,,,,,,,,,,,,車両火災,不明・調査中,曇,17,80,発令無,南南西,1,0
第８方面隊野津原中部分団,3月31日,乾燥,霜,,,,,,,,,,,,,,,林野火災,,晴,13,55,発令無,東北東,1,
第４方面隊東稙田分団,4月29日,乾燥,,,,,,,,,,,,,,,,その他の火災,たき火,晴,22,56,発令無,北西,3,
第１方面隊日岡分団,4月9日,乾燥,注意報,,,,,,,,,,,,,,,車両火災,その他,晴,18,30,発令無,北,1,
第５方面隊大在西分団,3月13日,乾燥,,,,,,,,,,,,,,,,その他の火災,たき火,晴,13,26,発令無,北西,1,
,3月13日,乾燥,,,,,,,,,,1,火元,ぼや,耐火建築物,,,建物火災,その他,晴,13,30,発令無,北西,1,
第７方面隊佐賀関上浦分団,4月7日,,,,,,,,,,,1,火元,部分焼,木造建築物,8,,建物火災,不明・調査中,晴,11,39,発令無,北北西,3,
第７方面隊本神崎分団,3月17日,乾燥,強風,注意報,,,,,,,,1,火元,部分焼,木造建築物,,4,建物火災,放火の疑い,晴,7,41,発令無,北北西,6,
第２方面隊鶴崎分団,4月11日,乾燥,,,,,,,,,,1,火元,ぼや,耐火建築物,,0,建物火災,こんろ,晴,11,45,発令無,南南西,1,
第１方面隊春日分団,4月1日,,,,,,,,,,,1,火元,ぼや,準耐火建築物（非木造）,,,建物火災,ストーブ,晴,8,62,発令無,北西,5,
第４方面隊稙田東部分団,3月28日,乾燥,強風,霜,波浪,注意報,,,,,,1,火元,全焼,木造建築物,245,,建物火災,風呂かまど,晴,13,41,発令無,北,3,
第４方面隊稙田東部分団,3月28日,乾燥,強風,霜,波浪,注意報,,,,,,2,類焼,部分焼,木造建築物,,10,建物火災,風呂かまど,晴,13,41,発令無,北,3,
第４方面隊稙田東部分団,4月1日,,,,,,,,,,,,,,,,,その他の火災,不明・調査中,晴,14,62,発令無,北,3,
第３方面隊戸次分団,4月15日,,,,,,,,,,,,,,,,,車両火災,排気管,晴,19,48,発令無,北北東,1,
第２方面隊明治分団,4月30日,乾燥,,,,,,,,,,,,,,,,その他の火災,溶接機・切断機,晴,22,68,発令無,西北西,4,
,3月8日,乾燥,強風,波浪,,,,,,,,,,,,,,その他の火災,溶接機・切断機,晴,7,47,発令無,西,3,
第１方面隊滝尾分団,4月16日,乾燥,,,,,,,,,,1,火元,ぼや,耐火建築物,,0,建物火災,放火,晴,16,53,発令無,南,1,
第８方面隊野津原東部分団,4月15日,,,,,,,,,,,1,火元,全焼,木造建築物,12,,建物火災,たき火,晴,19,57,発令無,北,4,
第２方面隊鶴崎分団,4月3日,乾燥,,,,,,,,,,1,火元,全焼,木造建築物,97,,建物火災,たき火,曇,13,52,発令無,北,3,
第１方面隊中島分団,3月15日,,,,,,,,,,,1,火元,ぼや,耐火建築物,,0,建物火災,不明・調査中,曇,9,63,発令無,南,3,
第２方面隊川添分団,4月7日,乾燥,強風,霜,波浪,,,,,,,1,火元,部分焼,木造建築物,3,,建物火災,その他,晴,8,48,発令無,北西,1,
第２方面隊鶴崎分団,4月3日,乾燥,,,,,,,,,,2,類焼,全焼,木造建築物,163,,建物火災,たき火,曇,13,52,発令無,北,3,
第２方面隊鶴崎分団,4月3日,乾燥,,,,,,,,,,3,類焼,全焼,木造建築物,247,,建物火災,たき火,曇,13,52,発令無,北,3,
第２方面隊鶴崎分団,4月3日,乾燥,,,,,,,,,,4,類焼,ぼや,防火構造建築物,0,,建物火災,たき火,曇,13,52,発令無,北,3,
第２方面隊鶴崎分団,4月3日,乾燥,,,,,,,,,,5,類焼,ぼや,耐火建築物,,1,建物火災,たき火,曇,13,52,発令無,北,3,
第１方面隊桃園分団,5月1日,,,,,,,,,,,,,,,,,その他の火災,火あそび,曇,22,79,発令無,南南東,3,
第１方面隊東大分分団,3月30日,,,,,,,,,,,,,,,,,その他の火災,,晴,7,45,発令無,北,3,
第１方面隊東大分分団,3月9日,乾燥,強風,波浪,,,,,,,,,,,,,,車両火災,その他,晴,12,42,発令無,西北西,4,
第２方面隊鶴崎分団,3月18日,乾燥,,,,,,,,,,,,,,,,その他の火災,たばこ,晴,9,50,発令無,北,1,
第６方面隊坂ノ市分団,4月15日,乾燥,,,,,,,,,,,,,,,,その他の火災,その他,晴,16,43,発令無,東北東,5,
第１方面隊南大分分団,3月28日,,,,,,,,,,,1,火元,ぼや,木造建築物,,0,建物火災,たばこ,晴,10,62,発令無,南南東,1,
第１方面隊大道分団,5月11日,,,,,,,,,,,1,火元,ぼや,耐火建築物,,0,建物火災,こんろ,晴,20,71,発令無,北西,3,
第８方面隊野津原西部分団,4月17日,雷,,,,,,,,,,1,類焼,部分焼,木造建築物,,9,林野火災,その他,雷雨,15,55,発令無,無風状態,0,
第８方面隊野津原西部分団,3月10日,乾燥,強風,波浪,注意報,,,,,,,1,火元,全焼,木造建築物,120,,建物火災,たき火,晴,14,56,発令無,西北西,1,0
第８方面隊野津原西部分団,3月10日,乾燥,強風,波浪,注意報,,,,,,,2,類焼,部分焼,木造建築物,,7,建物火災,たき火,晴,14,56,発令無,西北西,1,0
第８方面隊野津原東部分団,4月17日,乾燥,,,,,,,,,,,,,,,,その他の火災,たき火,快晴,21,55,発令無,北北西,2,
第１方面隊滝尾分団,3月19日,乾燥,,,,,,,,,,,,,,,,林野火災,たき火,晴,15,60,発令無,北東,2,
第３方面隊判田分団,4月9日,乾燥,,,,,,,,,,,,,,,,林野火災,放火の疑い,晴,16,46,発令無,西北西,1,
第３方面隊戸次分団,4月5日,乾燥,霜,,,,,,,,,,,,,,,その他の火災,たき火,晴,17,28,発令無,北北東,2,
,3月15日,,,,,,,,,,,,,,,,,その他の火災,その他,曇,10,95,発令無,北西,1,
第３方面隊吉野分団,4月19日,乾燥,強風,霜,,,,,,,,,,,,,,車両火災,その他,晴,21,39,発令無,北西,2,
第１方面隊中島分団,4月21日,大雨,雷,波浪,,,暴風,,,,,1,火元,ぼや,耐火建築物,0,,建物火災,電灯・電話等の配線,雨,17,99,発令無,無風状態,0,
第２方面隊明治分団,3月21日,強風,波浪,注意報,,,,,,,,1,火元,ぼや,準耐火建築物（非木造）,,,建物火災,電灯・電話等の配線,雨,11,78,発令無,北,5,
第１方面隊中島分団,3月11日,乾燥,,,,,,,,,,1,火元,ぼや,耐火建築物,,,建物火災,ストーブ,快晴,3,73,発令無,南,0,
第７方面隊佐賀関上浦分団,4月6日,乾燥,霜,注意報,,,,,,,,1,火元,ぼや,木造建築物,0,0,建物火災,不明・調査中,晴,7,75,発令無,南,2,
第４方面隊稙田西部分団,4月9日,乾燥,,,,,,,,,,1,火元,全焼,木造建築物,110,,建物火災,たばこ,晴,16,46,発令無,無風状態,0,
第１方面隊中島分団,5月1日,,,,,,,,,,,1,火元,ぼや,木造建築物,,1,建物火災,不明・調査中,不明,99,999,発令無,風向不明,99,
第４方面隊稙田西部分団,4月9日,乾燥,,,,,,,,,,2,類焼,ぼや,木造建築物,,1,建物火災,たばこ,晴,16,46,発令無,無風状態,0,
第４方面隊賀来分団,4月26日,乾燥,,,,,,,,,,,,,,,,その他の火災,火あそび,晴,22,35,発令無,南東,3,0
第１方面隊滝尾分団,3月19日,,,,,,,,,,,,,,,,,その他の火災,放火,雨,15,98,発令無,西北西,1,
第１方面隊滝尾分団,4月23日,強風,波浪,,,,,,,,,,,,,,,車両火災,電灯・電話等の配線,雨,13,83,発令無,東,1,
,3月31日,強風,波浪,,,,,,,,,,,,,,,その他の火災,その他,雨,15,77,発令無,南南西,2,
第２方面隊三佐分団,4月1日,強風,波浪,注意報,,,,,,,,1,火元,全焼,準耐火建築物（非木造）,155,,建物火災,放火の疑い,曇,16,70,発令無,南南東,3,
第１方面隊東大分分団,4月22日,,,,,,,,,,,1,火元,半焼,木造建築物,35,,建物火災,不明・調査中,晴,19,79,発令無,北西,1,
第１方面隊南大分分団,3月24日,火災,,,,,,,,,,1,火元,部分焼,準耐火建築物（非木造）,0,6,建物火災,配線器具,晴,11,25,発令無,北北西,5,
第１方面隊金池分団,4月28日,強風,波浪,注意報,,,,,,,,1,火元,ぼや,耐火建築物,,,建物火災,こんろ,雨,17,90,発令無,北東,1,
第３方面隊戸次分団,3月23日,乾燥,強風,霜,波浪,注意報,,,,,,1,火元,ぼや,準耐火建築物（非木造）,,0,建物火災,放火,晴,13,43,発令無,北北西,2,
,4月26日,乾燥,霜,,,,,,,,,1,火元,ぼや,準耐火建築物（非木造）,,,建物火災,炉,晴,14,36,発令無,西南西,3,
第１方面隊金池分団,4月7日,,,,,,,,,,,1,火元,ぼや,耐火建築物,,,建物火災,こんろ,晴,15,45,発令無,南,1,
第８方面隊野津原東部分団,3月11日,乾燥,,,,,,,,,,,,,,,,その他の火災,たき火,晴,11,49,発令無,東北東,4,
第２方面隊明治分団,4月10日,乾燥,注意報,,,,,,,,,,,,,,,その他の火災,たき火,曇,14,71,発令無,東北東,1,
第１方面隊南大分分団,5月16日,,,,,,,,,,,,,,,,,その他の火災,たばこ,晴,19,89,発令無,南東,1,
第４方面隊東稙田分団,4月7日,,,,,,乾燥,強風,霜,波浪,注意報,1,火元,ぼや,木造建築物,,0,建物火災,こんろ,晴,13,46,発令無,北西,6,
第２方面隊明治分団,4月12日,乾燥,注意報,,,,,,,,,1,火元,部分焼,準耐火建築物（非木造）,3,,建物火災,こんろ,晴,18,50,発令無,北西,1,
第５方面隊大在東分団,3月11日,乾燥,,,,,,,,,,1,類焼,部分焼,木造建築物,33,,その他の火災,不明・調査中,曇,11,51,発令無,東北東,4,0
第１方面隊南大分分団,4月29日,波浪,,,,,,,,,,1,火元,部分焼,準耐火建築物（非木造）,,20,建物火災,電灯・電話等の配線,晴,17,94,発令無,南南西,1,0
第６方面隊坂ノ市分団,4月14日,強風,雷,波浪,,,,,,,,1,火元,ぼや,耐火建築物,,,建物火災,その他,雨,16,88,発令無,西北西,2,
第１方面隊滝尾分団,3月25日,乾燥,強風,霜,波浪,,,,,,,,,,,,,林野火災,,曇,11,26,発令無,西北西,5,
第５方面隊大在西分団,4月27日,乾燥,霜,,,,,,,,,,,,,,,その他の火災,放火,晴,12,47,発令無,南南西,2,0
第７方面隊佐賀関下浦分団,4月23日,,,,,,,,,,,,,,,,,船舶火災,不明・調査中,曇,14,89,発令無,南,1,
第４方面隊稙田西部分団,3月23日,乾燥,強風,霜,波浪,注意報,,,,,,,,,,,,林野火災,その他,晴,13,41,発令無,北北西,3,0
第６方面隊丹生分団,5月27日,,,,,,,,,,,,,,,,,林野火災,たき火,晴,25,56,発令無,北北西,4,
第１方面隊東大分分団,4月23日,,,,,,,,,,,1,火元,ぼや,耐火建築物,0,0,建物火災,こんろ,雨,14,92,発令無,南西,2,
